Ranking,TP,NG,TC,TM,IG,Custo Inicial,Custo Médio,Melhor Custo,Pior Custo,Desvio Padrão,Ganho Médio (%),Tempo Médio (s),Solução Inicial,Solução Final
1,100,200,0.8,0.8,0.1,2273,922.1,867,979,29.04,59.43,1.3179,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[18, 18, 41, 43, 48, 32, 27, 38, 33, 40, 44, 7, 4, 2, 29, 42, 6, 23, 45, 5, 14, 39, 11, 46, 1, 36, 24, 37, 31, 34, 16, 19, 26, 28, 6, 25, 8, 9, 21, 3, 20, 10, 0, 30, 17, 49, 22, 12, 13, 15]"
2,50,200,0.5,0.8,0.1,2273,930.05,869,1017,36.35,59.08,0.6377,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[11, 46, 19, 23, 47, 14, 48, 45, 12, 1, 0, 30, 10, 25, 5, 13, 15, 36, 32, 2, 49, 35, 22, 41, 38, 33, 16, 34, 44, 37, 29, 24, 27, 18, 39, 28, 21, 31, 42, 6, 8, 9, 43, 40, 7, 4, 3, 20, 26, 17]"
3,100,200,0.2,0.8,0.7,2273,933.75,864,981,31.44,58.92,1.2543,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 43, 0, 30, 13, 23, 45, 42, 7, 4, 2, 47, 9, 14, 17, 11, 41, 6, 34, 16, 44, 37, 31, 10, 27, 8, 29, 24, 48, 3, 1, 28, 32, 15, 36, 38, 33, 35, 18, 49, 25, 5, 20, 46, 40, 39, 22, 19, 12, 21]"
4,100,200,0.5,0.8,0.1,2273,934.55,896,1012,32.3,58.88,1.3007,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 44, 0, 5, 1, 36, 20, 10, 18, 37, 2, 9, 14, 47, 8, 29, 24, 16, 22, 38, 28, 6, 48, 3, 7, 33, 40, 39, 35, 13, 11, 46, 12, 43, 4, 21, 19, 26, 17, 49, 23, 45, 42, 30, 27, 34, 31, 25, 32, 15]"
5,100,200,0.2,0.8,0.1,2273,936.0,858,1035,40.69,58.82,1.2587,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[35, 7, 0, 5, 1, 33, 45, 23, 43, 48, 34, 30, 17, 14, 42, 46, 39, 29, 19, 4, 3, 11, 2, 49, 40, 44, 38, 32, 28, 18, 37, 36, 47, 13, 27, 22, 12, 31, 24, 16, 15, 41, 6, 25, 8, 9, 20, 10, 21, 26]"
6,10,200,0.8,0.8,0.7,2469,1023.5,950,1105,40.08,58.55,0.1236,"[44, 35, 6, 14, 5, 24, 33, 8, 17, 2, 16, 7, 31, 10, 39, 34, 26, 23, 38, 43, 12, 45, 0, 18, 30, 19, 1, 3, 40, 46, 9, 47, 22, 41, 32, 20, 37, 49, 48, 11, 42, 29, 4, 27, 13, 28, 21, 36, 15, 25]","[44, 35, 5, 3, 20, 1, 33, 8, 43, 2, 21, 26, 14, 48, 47, 34, 7, 39, 29, 4, 49, 46, 28, 42, 30, 19, 12, 0, 40, 16, 18, 45, 22, 38, 23, 13, 6, 37, 9, 17, 11, 31, 10, 27, 15, 36, 24, 25, 32, 41]"
7,100,200,0.8,0.8,0.7,2273,945.8,901,1058,43.41,58.39,1.3132,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 18, 41, 33, 46, 28, 42, 6, 32, 15, 2, 47, 9, 34, 44, 48, 24, 38, 4, 49, 12, 36, 39, 22, 40, 14, 8, 29, 7, 0, 30, 25, 13, 37, 19, 3, 27, 5, 31, 10, 11, 35, 20, 43, 1, 17, 21, 45, 23, 16]"
8,10,200,0.2,0.8,0.7,2469,1030.65,964,1094,35.64,58.26,0.1218,"[44, 35, 6, 14, 5, 24, 33, 8, 17, 2, 16, 7, 31, 10, 39, 34, 26, 23, 38, 43, 12, 45, 0, 18, 30, 19, 1, 3, 40, 46, 9, 47, 22, 41, 32, 20, 37, 49, 48, 11, 42, 29, 4, 27, 13, 28, 21, 36, 15, 25]","[44, 35, 15, 32, 5, 20, 14, 8, 10, 7, 45, 42, 31, 18, 39, 19, 3, 36, 41, 43, 1, 30, 49, 23, 38, 17, 12, 0, 40, 46, 37, 47, 22, 27, 9, 34, 16, 33, 48, 24, 25, 29, 4, 11, 13, 6, 2, 21, 26, 28]"
9,50,200,0.2,0.8,0.7,2273,949.7,885,1006,31.84,58.22,0.6262,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 43, 0, 5, 1, 33, 8, 10, 7, 3, 20, 47, 9, 24, 25, 14, 23, 29, 34, 30, 44, 37, 2, 4, 13, 15, 26, 17, 46, 27, 38, 48, 45, 42, 36, 32, 11, 35, 18, 49, 21, 28, 6, 16, 19, 12, 31, 39, 22, 40]"
10,50,200,0.5,0.8,0.7,2273,954.5,866,1051,41.71,58.01,0.6352,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[34, 7, 33, 22, 1, 0, 20, 10, 15, 32, 28, 21, 9, 14, 17, 11, 45, 46, 39, 3, 44, 37, 18, 25, 48, 4, 49, 47, 27, 8, 30, 31, 24, 42, 35, 5, 13, 6, 2, 29, 41, 43, 40, 16, 19, 23, 26, 36, 38, 12]"
