Ranking,TP,NG,TC,TM,IG,Custo Inicial,Custo Médio,Melhor Custo,Pior Custo,Desvio Padrão,Ganho Médio (%),Tempo Médio (s),Solução Inicial,Solução Final
11,50,200,0.2,0.8,0.1,2273,956.0,844,1044,48.03,57.94,0.6283,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 0, 5, 3, 11, 20, 10, 25, 48, 12, 30, 17, 14, 9, 43, 26, 40, 39, 28, 23, 1, 2, 4, 6, 34, 44, 27, 37, 47, 13, 15, 32, 8, 36, 38, 33, 35, 18, 49, 21, 19, 16, 46, 29, 24, 45, 42, 31, 22]"
12,50,200,0.8,0.8,0.7,2273,957.0,895,1019,31.59,57.9,0.6465,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 43, 0, 5, 1, 33, 45, 42, 7, 48, 12, 30, 27, 27, 8, 9, 21, 46, 19, 3, 44, 37, 2, 47, 13, 23, 32, 25, 20, 10, 40, 14, 11, 31, 36, 38, 26, 35, 18, 49, 29, 24, 17, 28, 6, 34, 16, 15, 39, 22]"
13,50,200,0.8,0.8,0.1,2273,958.35,891,1020,37.15,57.84,0.651,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 0, 5, 1, 33, 45, 38, 25, 14, 3, 20, 32, 48, 47, 23, 16, 2, 4, 13, 27, 34, 30, 21, 10, 15, 36, 44, 37, 11, 46, 40, 6, 8, 9, 43, 42, 35, 18, 49, 28, 24, 17, 29, 19, 26, 12, 31, 39, 22]"
14,100,200,0.5,0.8,0.7,2273,960.2,859,1053,49.72,57.76,1.2933,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[21, 7, 0, 20, 1, 33, 45, 22, 39, 3, 29, 41, 15, 8, 9, 23, 43, 11, 31, 30, 44, 37, 2, 4, 13, 28, 6, 25, 35, 5, 14, 48, 32, 42, 36, 38, 26, 10, 18, 49, 40, 47, 24, 27, 34, 16, 46, 17, 19, 12]"
15,10,200,0.5,0.8,0.7,2469,1043.15,889,1122,51.19,57.75,0.1228,"[44, 35, 6, 14, 5, 24, 33, 8, 17, 2, 16, 7, 31, 10, 39, 34, 26, 23, 38, 43, 12, 45, 0, 18, 30, 19, 1, 3, 40, 46, 9, 47, 22, 41, 32, 20, 37, 49, 48, 11, 42, 29, 4, 27, 13, 28, 21, 36, 15, 25]","[42, 6, 37, 36, 8, 10, 40, 39, 18, 25, 32, 44, 48, 47, 13, 23, 38, 33, 16, 43, 30, 49, 34, 7, 24, 19, 2, 29, 4, 12, 31, 45, 22, 1, 21, 41, 15, 26, 17, 11, 0, 14, 35, 27, 9, 20, 46, 5, 3, 28]"
16,100,200,0.8,0.2,0.7,2273,971.65,908,1086,44.83,57.25,1.277,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 0, 5, 30, 37, 47, 22, 20, 10, 21, 46, 28, 24, 9, 15, 2, 14, 17, 13, 6, 1, 42, 35, 3, 44, 38, 25, 32, 45, 2, 27, 34, 23, 43, 11, 31, 39, 18, 49, 8, 29, 19, 16, 4, 33, 48, 12, 36, 40]"
17,100,200,0.2,0.2,0.1,2273,973.3,908,1026,30.63,57.18,1.23,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 4, 5, 1, 33, 45, 20, 43, 48, 14, 23, 42, 30, 40, 2, 34, 11, 35, 13, 37, 31, 32, 15, 36, 38, 28, 6, 16, 18, 19, 12, 0, 26, 10, 21, 46, 3, 27, 8, 9, 39, 29, 24, 17, 25, 44, 49, 47, 22]"
18,100,100,0.2,0.8,0.7,2273,974.1,868,1035,31.82,57.14,0.6321,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 0, 30, 13, 33, 45, 46, 43, 4, 2, 47, 9, 14, 38, 23, 42, 34, 31, 16, 44, 37, 26, 10, 27, 8, 29, 24, 48, 3, 1, 28, 32, 15, 36, 17, 11, 35, 18, 6, 25, 5, 20, 49, 40, 39, 22, 19, 12, 21]"
19,100,100,0.8,0.8,0.1,2273,974.95,906,1051,37.38,57.11,0.6659,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[18, 18, 41, 33, 48, 32, 27, 38, 43, 40, 44, 7, 4, 2, 29, 42, 47, 23, 45, 5, 14, 39, 11, 46, 1, 36, 6, 37, 31, 34, 16, 19, 26, 28, 24, 25, 8, 9, 35, 3, 20, 10, 0, 30, 17, 49, 22, 12, 13, 15]"
20,100,200,0.2,0.2,0.0,2273,975.6,874,1138,55.8,57.08,1.2272,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 0, 5, 1, 33, 45, 20, 43, 26, 28, 44, 6, 48, 47, 34, 30, 37, 9, 8, 10, 11, 42, 35, 46, 12, 36, 17, 2, 49, 40, 19, 4, 3, 29, 16, 15, 32, 27, 14, 23, 21, 31, 24, 38, 39, 18, 25, 13, 22]"
21,100,200,0.8,0.2,0.0,2273,975.7,915,1113,48.65,57.07,1.2777,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[25, 14, 48, 45, 5, 41, 36, 33, 42, 6, 26, 40, 19, 12, 43, 31, 13, 23, 38, 47, 17, 46, 28, 44, 7, 39, 15, 32, 2, 4, 3, 11, 0, 8, 9, 49, 34, 30, 21, 10, 27, 35, 18, 37, 29, 16, 22, 20, 1, 24]"
22,100,200,0.5,0.2,0.0,2273,976.95,909,1038,30.78,57.02,1.2723,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[48, 45, 8, 13, 38, 33, 47, 9, 20, 24, 42, 34, 17, 21, 31, 10, 27, 32, 37, 2, 6, 25, 14, 22, 30, 44, 0, 41, 15, 39, 29, 7, 4, 11, 46, 19, 12, 43, 1, 36, 40, 16, 18, 49, 23, 26, 35, 5, 28, 3]"
23,100,200,0.5,0.2,0.1,2273,980.6,913,1041,35.41,56.86,1.2688,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 4, 18, 1, 11, 20, 10, 15, 26, 28, 24, 17, 29, 42, 36, 39, 16, 19, 3, 44, 45, 12, 43, 2, 25, 32, 0, 8, 9, 30, 13, 6, 37, 23, 38, 33, 35, 5, 49, 21, 46, 40, 14, 48, 47, 27, 34, 31, 22]"
24,100,200,0.5,0.2,0.7,2273,981.25,877,1076,45.06,56.83,1.2659,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[42, 44, 0, 5, 1, 33, 45, 20, 43, 48, 47, 23, 37, 2, 21, 3, 34, 30, 19, 11, 41, 7, 4, 26, 10, 15, 32, 25, 14, 17, 13, 27, 8, 9, 36, 38, 39, 35, 18, 49, 28, 6, 16, 46, 29, 22, 40, 12, 31, 24]"
25,100,200,0.2,0.2,0.7,2273,981.7,900,1054,39.86,56.81,1.2295,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 43, 0, 5, 1, 2, 26, 10, 21, 40, 33, 46, 37, 25, 13, 15, 36, 11, 35, 20, 47, 34, 30, 31, 42, 44, 38, 28, 6, 8, 29, 7, 4, 3, 17, 12, 48, 32, 24, 27, 9, 14, 23, 39, 16, 19, 18, 49, 45, 22]"
26,10,200,0.2,0.8,0.1,2469,1070.8,931,1184,63.33,56.63,0.1222,"[44, 35, 6, 14, 5, 24, 33, 8, 17, 2, 16, 7, 31, 10, 39, 34, 26, 23, 38, 43, 12, 45, 0, 18, 30, 19, 1, 3, 40, 46, 9, 47, 22, 41, 32, 20, 37, 49, 48, 11, 42, 29, 4, 27, 13, 28, 21, 36, 15, 25]","[11, 45, 2, 49, 21, 26, 17, 5, 14, 35, 27, 8, 9, 18, 39, 3, 41, 43, 20, 46, 12, 23, 1, 36, 6, 33, 48, 22, 30, 10, 15, 28, 42, 32, 25, 13, 37, 31, 34, 7, 0, 40, 19, 47, 24, 16, 44, 38, 29, 4]"
27,10,200,0.5,0.8,0.1,2469,1071.9,966,1197,55.44,56.59,0.1241,"[44, 35, 6, 14, 5, 24, 33, 8, 17, 2, 16, 7, 31, 10, 39, 34, 26, 23, 38, 43, 12, 45, 0, 18, 30, 19, 1, 3, 40, 46, 9, 47, 22, 41, 32, 20, 37, 49, 48, 11, 42, 29, 4, 27, 13, 28, 21, 36, 15, 25]","[34, 30, 19, 2, 47, 22, 40, 44, 6, 33, 45, 46, 29, 24, 42, 6, 37, 23, 39, 35, 20, 12, 21, 31, 10, 9, 15, 16, 18, 7, 48, 14, 17, 28, 11, 32, 0, 49, 5, 3, 27, 43, 4, 38, 25, 8, 13, 36, 41, 1]"
28,100,100,0.8,0.8,0.7,2273,987.6,916,1062,34.79,56.55,0.6651,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 18, 41, 33, 46, 28, 42, 6, 32, 15, 2, 47, 9, 34, 44, 48, 24, 38, 4, 49, 12, 36, 39, 22, 40, 14, 8, 29, 7, 0, 30, 25, 13, 37, 19, 3, 27, 5, 31, 10, 11, 35, 20, 43, 1, 17, 21, 45, 23, 16]"
29,10,200,0.8,0.8,0.1,2469,1074.6,976,1161,50.76,56.48,0.1241,"[44, 35, 6, 14, 5, 24, 33, 8, 17, 2, 16, 7, 31, 10, 39, 34, 26, 23, 38, 43, 12, 45, 0, 18, 30, 19, 1, 3, 40, 46, 9, 47, 22, 41, 32, 20, 37, 49, 48, 11, 42, 29, 4, 27, 13, 28, 21, 36, 15, 25]","[44, 7, 0, 46, 5, 12, 48, 32, 2, 9, 30, 19, 13, 15, 16, 18, 45, 23, 29, 43, 35, 4, 6, 34, 39, 3, 1, 33, 40, 14, 42, 27, 22, 38, 28, 21, 37, 31, 36, 24, 25, 17, 49, 47, 8, 20, 26, 10, 11, 41]"
30,50,100,0.2,0.8,0.7,2273,989.35,923,1050,36.79,56.47,0.2974,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 43, 0, 5, 1, 33, 8, 10, 7, 3, 20, 47, 9, 24, 25, 14, 23, 29, 34, 16, 44, 37, 2, 4, 13, 15, 26, 17, 46, 27, 32, 48, 45, 42, 36, 38, 11, 35, 18, 49, 21, 28, 6, 30, 19, 12, 31, 39, 22, 40]"
31,100,100,0.5,0.8,0.1,2273,990.7,906,1094,42.14,56.41,0.638,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 7, 0, 5, 1, 36, 20, 10, 18, 4, 2, 9, 43, 39, 35, 29, 24, 16, 22, 38, 28, 6, 48, 3, 44, 42, 40, 14, 8, 13, 11, 46, 12, 30, 21, 37, 19, 26, 17, 49, 23, 45, 33, 47, 27, 34, 31, 25, 32, 15]"
32,100,100,0.5,0.8,0.7,2273,992.05,896,1070,41.68,56.36,0.638,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[21, 7, 0, 20, 1, 33, 45, 22, 39, 3, 29, 41, 15, 8, 9, 23, 43, 11, 31, 30, 44, 37, 2, 4, 13, 28, 6, 25, 35, 5, 14, 48, 32, 42, 36, 38, 26, 10, 18, 49, 40, 47, 24, 27, 34, 16, 46, 17, 19, 12]"
33,100,200,0.8,0.2,0.1,2273,993.8,920,1097,47.6,56.28,1.2759,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[40, 7, 0, 41, 33, 4, 45, 8, 20, 10, 21, 31, 39, 28, 46, 17, 11, 24, 19, 26, 18, 1, 42, 35, 3, 44, 38, 32, 48, 47, 13, 27, 37, 9, 43, 12, 34, 30, 2, 49, 23, 16, 15, 36, 6, 25, 5, 14, 29, 22]"
34,50,200,0.8,0.2,0.1,2273,996.35,916,1120,51.26,56.17,0.6249,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[48, 7, 0, 5, 1, 11, 13, 27, 14, 22, 42, 30, 17, 21, 9, 34, 16, 46, 3, 28, 44, 31, 39, 4, 2, 47, 24, 25, 41, 38, 29, 43, 32, 15, 36, 8, 33, 35, 18, 49, 40, 6, 37, 19, 12, 23, 45, 20, 26, 10]"
35,100,100,0.2,0.8,0.1,2273,998.05,931,1059,31.95,56.09,0.6335,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[35, 7, 0, 5, 1, 33, 45, 23, 43, 48, 34, 30, 17, 14, 42, 32, 39, 29, 19, 4, 3, 11, 2, 49, 40, 44, 38, 18, 28, 46, 37, 9, 47, 13, 27, 22, 12, 31, 24, 16, 15, 41, 6, 25, 8, 36, 20, 10, 21, 26]"
36,50,100,0.8,0.8,0.7,2273,1001.3,944,1055,30.54,55.95,0.3065,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 43, 0, 5, 1, 33, 45, 42, 7, 48, 12, 30, 27, 27, 9, 15, 21, 46, 8, 3, 44, 37, 2, 47, 13, 23, 32, 25, 20, 10, 40, 14, 11, 31, 36, 38, 26, 35, 18, 49, 29, 24, 17, 28, 6, 34, 16, 22, 39, 19]"
37,50,200,0.2,0.2,0.7,2273,1001.4,940,1105,42.95,55.94,0.611,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 18, 0, 5, 1, 33, 8, 10, 25, 48, 4, 6, 44, 37, 9, 43, 2, 21, 31, 46, 17, 13, 7, 28, 20, 47, 14, 39, 3, 42, 30, 27, 15, 41, 36, 38, 23, 32, 11, 24, 45, 22, 40, 16, 19, 12, 34, 49, 35, 29]"
38,50,200,0.5,0.2,0.0,2273,1005.5,916,1094,47.25,55.76,0.6186,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[29, 7, 4, 5, 1, 11, 45, 20, 22, 39, 15, 28, 44, 27, 9, 14, 48, 34, 3, 47, 17, 13, 30, 19, 12, 23, 32, 25, 41, 42, 46, 40, 6, 37, 36, 38, 33, 35, 18, 49, 21, 10, 0, 26, 43, 2, 31, 24, 16, 8]"
39,50,100,0.5,0.8,0.1,2273,1007.2,918,1115,52.58,55.69,0.3013,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[11, 46, 19, 23, 26, 17, 48, 45, 12, 1, 0, 40, 24, 25, 5, 29, 28, 6, 32, 2, 49, 35, 15, 41, 38, 33, 16, 34, 44, 37, 13, 10, 27, 18, 39, 22, 21, 31, 42, 36, 8, 9, 14, 30, 7, 4, 3, 20, 47, 43]"
